District,S.No.,Parameters,Type,April - Total [(A+B) or (C+D)],April - Public [A],April - Private [B],April - Urban [C],April - Rural [D],May - Total [(A+B) or (C+D)],May - Public [A],May - Private [B],May - Urban [C],May - Rural [D],June - Total [(A+B) or (C+D)],June - Public [A],June - Private [B],June - Urban [C],June - Rural [D],July - Total [(A+B) or (C+D)],July - Public [A],July - Private [B],July - Urban [C],July - Rural [D],August - Total [(A+B) or (C+D)],August - Public [A],August - Private [B],August - Urban [C],August - Rural [D],September - Total [(A+B) or (C+D)],September - Public [A],September - Private [B],September - Urban [C],September - Rural [D],October - Total [(A+B) or (C+D)],October - Public [A],October - Private [B],October - Urban [C],October - Rural [D],November - Total [(A+B) or (C+D)],November - Public [A],November - Private [B],November - Urban [C],November - Rural [D],December - Total [(A+B) or (C+D)],December - Public [A],December - Private [B],December - Urban [C],December - Rural [D],January - Total [(A+B) or (C+D)],January - Public [A],January - Private [B],January - Urban [C],January - Rural [D],February - Total [(A+B) or (C+D)],February - Public [A],February - Private [B],February - Urban [C],February - Rural [D],March - Total [(A+B) or (C+D)],March - Public [A],March - Private [B],March - Urban [C],March - Rural [D],Total - Total [(A+B) or (C+D)],Total - Public [A],Total - Private [B],Total - Urban [C],Total - Rural [D]
Bilaspur,'1.1',Total number of pregnant women registered for ANC,TOTAL,576,576,0,NA,576,569,569,0,NA,569,561,561,0,NA,561,531,531,0,NA,531,507,507,0,NA,507,487,487,0,NA,487,397,397,0,NA,397,472,472,0,NA,472,495,495,0,NA,495,642,642,0,NA,642,581,581,0,NA,581,509,500,9,NA,509,6327,6318,9,NA,6327
Bilaspur,'1.1.1',"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,549,549,0,NA,549,527,527,0,NA,527,518,518,0,NA,518,494,494,0,NA,494,472,472,0,NA,472,457,457,0,NA,457,366,366,0,NA,366,434,434,0,NA,434,480,480,0,NA,480,616,616,0,NA,616,571,571,0,NA,571,483,474,9,NA,483,5967,5958,9,NA,5967
Bilaspur,'1.2.1',Number of PW given TT1,TOTAL,319,319,0,NA,319,418,418,0,NA,418,361,361,0,NA,361,397,397,0,NA,397,368,368,0,NA,368,338,338,0,NA,338,301,301,0,NA,301,304,304,0,NA,304,339,339,0,NA,339,439,439,0,NA,439,422,422,0,NA,422,350,342,8,NA,350,4356,4348,8,NA,4356
Bilaspur,'1.2.2',Number of PW given TT2,TOTAL,254,254,0,NA,254,359,359,0,NA,359,381,381,0,NA,381,334,334,0,NA,334,392,392,0,NA,392,343,343,0,NA,343,368,368,0,NA,368,293,293,0,NA,293,348,348,0,NA,348,343,343,0,NA,343,437,437,0,NA,437,399,390,9,NA,399,4251,4242,9,NA,4251
Bilaspur,'1.2.3',Number of PW given TT Booster,TOTAL,124,124,0,NA,124,166,166,0,NA,166,157,157,0,NA,157,151,151,0,NA,151,170,170,0,NA,170,128,128,0,NA,128,132,132,0,NA,132,143,143,0,NA,143,164,164,0,NA,164,178,178,0,NA,178,181,181,0,NA,181,147,146,1,NA,147,1841,1840,1,NA,1841
Bilaspur,'1.2.4',Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,521,521,0,NA,521,516,516,0,NA,516,498,498,0,NA,498,508,508,0,NA,508,519,519,0,NA,519,487,487,0,NA,487,472,472,0,NA,472,478,478,0,NA,478,482,482,0,NA,482,639,639,0,NA,639,556,556,0,NA,556,538,529,9,NA,538,6214,6205,9,NA,6214
Bilaspur,'1.2.5',Number of PW given 360 Calcium tablets,TOTAL,523,523,0,NA,523,517,517,0,NA,517,502,502,0,NA,502,505,505,0,NA,505,513,513,0,NA,513,498,498,0,NA,498,471,471,0,NA,471,465,465,0,NA,465,477,477,0,NA,477,640,640,0,NA,640,555,555,0,NA,555,546,537,9,NA,546,6212,6203,9,NA,6212
Bilaspur,'1.2.6',Number of PW given one Albendazole tablet after 1st trimester,TOTAL,417,417,0,NA,417,464,464,0,NA,464,410,410,0,NA,410,424,424,0,NA,424,455,455,0,NA,455,409,409,0,NA,409,455,455,0,NA,455,422,422,0,NA,422,456,456,0,NA,456,521,521,0,NA,521,581,581,0,NA,581,482,473,9,NA,482,5496,5487,9,NA,5496
Bilaspur,'1.2.7',Number of PW received 4 or more ANC check ups,TOTAL,377,377,0,NA,377,454,454,0,NA,454,387,387,0,NA,387,437,437,0,NA,437,458,458,0,NA,458,430,430,0,NA,430,383,383,0,NA,383,467,467,0,NA,467,736,736,0,NA,736,770,770,0,NA,770,609,609,0,NA,609,579,563,16,NA,579,6087,6071,16,NA,6087
Bilaspur,'1.2.8',Number of PW given ANC Corticosteroids in Pre Term Labour,TOTAL,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0
