District,S.No.,Parameters,Type,April - Total [(A+B) or (C+D)],April - Public [A],April - Private [B],April - Urban [C],April - Rural [D],May - Total [(A+B) or (C+D)],May - Public [A],May - Private [B],May - Urban [C],May - Rural [D],June - Total [(A+B) or (C+D)],June - Public [A],June - Private [B],June - Urban [C],June - Rural [D],July - Total [(A+B) or (C+D)],July - Public [A],July - Private [B],July - Urban [C],July - Rural [D],August - Total [(A+B) or (C+D)],August - Public [A],August - Private [B],August - Urban [C],August - Rural [D],September - Total [(A+B) or (C+D)],September - Public [A],September - Private [B],September - Urban [C],September - Rural [D],October - Total [(A+B) or (C+D)],October - Public [A],October - Private [B],October - Urban [C],October - Rural [D],November - Total [(A+B) or (C+D)],November - Public [A],November - Private [B],November - Urban [C],November - Rural [D],December - Total [(A+B) or (C+D)],December - Public [A],December - Private [B],December - Urban [C],December - Rural [D],January - Total [(A+B) or (C+D)],January - Public [A],January - Private [B],January - Urban [C],January - Rural [D],February - Total [(A+B) or (C+D)],February - Public [A],February - Private [B],February - Urban [C],February - Rural [D],March - Total [(A+B) or (C+D)],March - Public [A],March - Private [B],March - Urban [C],March - Rural [D],Total - Total [(A+B) or (C+D)],Total - Public [A],Total - Private [B],Total - Urban [C],Total - Rural [D]
Bokaro,'1.1',Total number of pregnant women registered for ANC,TOTAL,4534,3607,927,1050,3484,4618,3679,939,1012,3606,4667,3666,1001,1019,3648,4912,3778,1134,1181,3731,4570,3518,1052,1063,3507,4044,3084,960,701,3343,4253,3430,823,738,3515,4428,3603,825,800,3628,4440,3631,809,710,3730,4530,3520,1010,944,3586,4568,3736,832,857,3711,3440,2876,564,436,3004,53004,42128,10876,10511,42493
Bokaro,'1.1.1',"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,3092,2238,854,721,2371,3081,2191,890,717,2364,3620,2354,1266,1183,2437,3525,2421,1104,976,2549,3113,2195,918,658,2455,2701,1938,763,440,2261,2438,2103,335,163,2275,2496,2165,331,290,2206,2375,2088,287,204,2171,2834,2184,650,639,2195,2939,2356,583,490,2449,2295,1967,328,244,2051,34509,26200,8309,6725,27784
Bokaro,'1.2.1',Number of PW given TT1,TOTAL,3346,2833,513,551,2795,3675,3036,639,695,2980,3635,2873,762,758,2877,3728,2930,798,775,2953,3546,2787,759,835,2711,3051,2434,617,564,2487,3134,2678,456,423,2711,3295,2838,457,465,2830,3269,2759,510,485,2784,3553,2918,635,719,2834,3450,2939,511,636,2814,2512,2199,313,321,2191,40194,33224,6970,7227,32967
Bokaro,'1.2.2',Number of PW given TT2,TOTAL,2392,2159,233,290,2102,2764,2531,233,375,2389,2653,2426,227,330,2323,2502,2309,193,357,2145,2756,2471,285,357,2399,2574,2196,378,315,2259,2465,2271,194,292,2173,2519,2287,232,318,2201,2628,2394,234,313,2315,2734,2413,321,397,2337,2615,2415,200,271,2344,2097,1909,188,178,1919,30699,27781,2918,3793,26906
Bokaro,'1.2.3',Number of PW given TT Booster,TOTAL,959,612,347,379,580,930,642,288,326,604,969,793,176,263,706,978,693,285,352,626,871,651,220,227,644,742,578,164,132,610,788,669,119,133,655,863,656,207,227,636,854,629,225,216,638,786,566,220,223,563,820,676,144,122,698,665,550,115,113,552,10225,7715,2510,2713,7512
Bokaro,'1.2.4',Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,3261,3013,248,307,2954,3501,3196,305,442,3059,3549,3207,342,358,3191,3567,3229,338,357,3210,3248,3002,246,334,2914,3008,2657,351,239,2769,3148,2840,308,264,2884,3052,2844,208,109,2943,3015,2801,214,216,2799,3110,2929,181,266,2844,3402,3187,215,309,3093,2790,2555,235,220,2570,38651,35460,3191,3421,35230
Bokaro,'1.2.5',Number of PW given 360 Calcium tablets,TOTAL,3098,2850,248,297,2801,3397,3092,305,430,2967,3411,3069,342,354,3057,3297,2959,338,374,2923,3121,2875,246,334,2787,2981,2630,351,239,2742,3117,2809,308,264,2853,2997,2789,208,109,2888,2897,2683,214,208,2689,3061,2880,181,258,2803,3337,3122,215,296,3041,2705,2470,235,219,2486,37419,34228,3191,3382,34037
Bokaro,'1.2.6',Number of PW given one Albendazole tablet after 1st trimester,TOTAL,1154,1154,0,22,1132,1056,1056,0,0,1056,1128,1128,0,85,1043,1234,1234,0,76,1158,1187,1187,0,47,1140,1101,1101,0,47,1054,1194,1194,0,52,1142,1297,1297,0,55,1242,1175,1175,0,32,1143,1213,1213,0,25,1188,1292,1292,0,30,1262,1009,1009,0,41,968,14040,14040,0,512,13528
Bokaro,'1.2.7',Number of PW received 4 or more ANC check ups,TOTAL,3851,2495,1356,1158,2693,3812,2472,1340,1153,2659,3792,2597,1195,1120,2672,3793,2578,1215,1018,2775,3663,2553,1110,931,2732,3282,2388,894,573,2709,3063,2448,615,398,2665,3018,2416,602,403,2615,2907,2305,602,344,2563,3579,2469,1110,957,2622,3268,2436,832,596,2672,2429,2053,376,155,2274,40457,29210,11247,8806,31651
Bokaro,'1.2.8',Number of PW given ANC Corticosteroids in Pre Term Labour,TOTAL,41,41,0,0,41,40,40,0,0,40,44,44,0,0,44,35,35,0,0,35,27,27,0,0,27,21,21,0,0,21,53,53,0,0,53,21,21,0,0,21,38,38,0,0,38,51,51,0,0,51,73,73,0,0,73,88,88,0,0,88,532,532,0,0,532
