District,S.No.,Parameters,Type,April - Total [(A+B) or (C+D)],April - Public [A],April - Private [B],April - Urban [C],April - Rural [D],May - Total [(A+B) or (C+D)],May - Public [A],May - Private [B],May - Urban [C],May - Rural [D],June - Total [(A+B) or (C+D)],June - Public [A],June - Private [B],June - Urban [C],June - Rural [D],July - Total [(A+B) or (C+D)],July - Public [A],July - Private [B],July - Urban [C],July - Rural [D],August - Total [(A+B) or (C+D)],August - Public [A],August - Private [B],August - Urban [C],August - Rural [D],September - Total [(A+B) or (C+D)],September - Public [A],September - Private [B],September - Urban [C],September - Rural [D],October - Total [(A+B) or (C+D)],October - Public [A],October - Private [B],October - Urban [C],October - Rural [D],November - Total [(A+B) or (C+D)],November - Public [A],November - Private [B],November - Urban [C],November - Rural [D],December - Total [(A+B) or (C+D)],December - Public [A],December - Private [B],December - Urban [C],December - Rural [D],January - Total [(A+B) or (C+D)],January - Public [A],January - Private [B],January - Urban [C],January - Rural [D],February - Total [(A+B) or (C+D)],February - Public [A],February - Private [B],February - Urban [C],February - Rural [D],March - Total [(A+B) or (C+D)],March - Public [A],March - Private [B],March - Urban [C],March - Rural [D],Total - Total [(A+B) or (C+D)],Total - Public [A],Total - Private [B],Total - Urban [C],Total - Rural [D]
Lakshadweep,'1.1',Total number of pregnant women registered for ANC,TOTAL,126,126,NA,NA,126,102,102,NA,NA,102,96,96,NA,NA,96,101,101,NA,NA,101,107,107,NA,NA,107,101,101,NA,NA,101,92,92,NA,NA,92,110,110,NA,NA,110,106,106,NA,NA,106,137,137,NA,NA,137,92,92,NA,NA,92,104,104,NA,NA,104,1274,1274,NA,NA,1274
Lakshadweep,'1.1.1',"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,119,119,NA,NA,119,86,86,NA,NA,86,65,65,NA,NA,65,76,76,NA,NA,76,77,77,NA,NA,77,90,90,NA,NA,90,83,83,NA,NA,83,100,100,NA,NA,100,96,96,NA,NA,96,119,119,NA,NA,119,80,80,NA,NA,80,77,77,NA,NA,77,1068,1068,NA,NA,1068
Lakshadweep,'1.2.1',Number of PW given TT1,TOTAL,102,102,NA,NA,102,94,94,NA,NA,94,79,79,NA,NA,79,63,63,NA,NA,63,77,77,NA,NA,77,88,88,NA,NA,88,78,78,NA,NA,78,78,78,NA,NA,78,94,94,NA,NA,94,105,105,NA,NA,105,68,68,NA,NA,68,64,64,NA,NA,64,990,990,NA,NA,990
Lakshadweep,'1.2.2',Number of PW given TT2,TOTAL,55,55,NA,NA,55,75,75,NA,NA,75,100,100,NA,NA,100,67,67,NA,NA,67,63,63,NA,NA,63,64,64,NA,NA,64,90,90,NA,NA,90,57,57,NA,NA,57,72,72,NA,NA,72,82,82,NA,NA,82,84,84,NA,NA,84,59,59,NA,NA,59,868,868,NA,NA,868
Lakshadweep,'1.2.3',Number of PW given TT Booster,TOTAL,17,17,NA,NA,17,9,9,NA,NA,9,10,10,NA,NA,10,13,13,NA,NA,13,11,11,NA,NA,11,13,13,NA,NA,13,14,14,NA,NA,14,7,7,NA,NA,7,21,21,NA,NA,21,8,8,NA,NA,8,15,15,NA,NA,15,12,12,NA,NA,12,150,150,NA,NA,150
Lakshadweep,'1.2.4',Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,117,117,NA,NA,117,92,92,NA,NA,92,78,78,NA,NA,78,103,103,NA,NA,103,96,96,NA,NA,96,93,93,NA,NA,93,115,115,NA,NA,115,123,123,NA,NA,123,119,119,NA,NA,119,121,121,NA,NA,121,103,103,NA,NA,103,96,96,NA,NA,96,1256,1256,NA,NA,1256
Lakshadweep,'1.2.5',Number of PW given 360 Calcium tablets,TOTAL,117,117,NA,NA,117,96,96,NA,NA,96,78,78,NA,NA,78,101,101,NA,NA,101,88,88,NA,NA,88,90,90,NA,NA,90,104,104,NA,NA,104,123,123,NA,NA,123,123,123,NA,NA,123,100,100,NA,NA,100,103,103,NA,NA,103,93,93,NA,NA,93,1216,1216,NA,NA,1216
Lakshadweep,'1.2.6',Number of PW given one Albendazole tablet after 1st trimester,TOTAL,17,17,NA,NA,17,20,20,NA,NA,20,15,15,NA,NA,15,30,30,NA,NA,30,35,35,NA,NA,35,30,30,NA,NA,30,25,25,NA,NA,25,20,20,NA,NA,20,40,40,NA,NA,40,28,28,NA,NA,28,15,15,NA,NA,15,27,27,NA,NA,27,302,302,NA,NA,302
Lakshadweep,'1.2.7',Number of PW received 4 or more ANC check ups,TOTAL,102,102,NA,NA,102,87,87,NA,NA,87,71,71,NA,NA,71,112,112,NA,NA,112,105,105,NA,NA,105,92,92,NA,NA,92,104,104,NA,NA,104,95,95,NA,NA,95,97,97,NA,NA,97,92,92,NA,NA,92,95,95,NA,NA,95,94,94,NA,NA,94,1146,1146,NA,NA,1146
Lakshadweep,'1.2.8',Number of PW given ANC Corticosteroids in Pre Term Labour,TOTAL,1,1,NA,NA,1,3,3,NA,NA,3,2,2,NA,NA,2,2,2,NA,NA,2,4,4,NA,NA,4,2,2,NA,NA,2,2,2,NA,NA,2,2,2,NA,NA,2,1,1,NA,NA,1,2,2,NA,NA,2,3,3,NA,NA,3,1,1,NA,NA,1,25,25,NA,NA,25
