District,S.No.,Parameters,Type,April - Total [(A+B) or (C+D)],April - Public [A],April - Private [B],April - Urban [C],April - Rural [D],May - Total [(A+B) or (C+D)],May - Public [A],May - Private [B],May - Urban [C],May - Rural [D],June - Total [(A+B) or (C+D)],June - Public [A],June - Private [B],June - Urban [C],June - Rural [D],July - Total [(A+B) or (C+D)],July - Public [A],July - Private [B],July - Urban [C],July - Rural [D],August - Total [(A+B) or (C+D)],August - Public [A],August - Private [B],August - Urban [C],August - Rural [D],September - Total [(A+B) or (C+D)],September - Public [A],September - Private [B],September - Urban [C],September - Rural [D],October - Total [(A+B) or (C+D)],October - Public [A],October - Private [B],October - Urban [C],October - Rural [D],November - Total [(A+B) or (C+D)],November - Public [A],November - Private [B],November - Urban [C],November - Rural [D],December - Total [(A+B) or (C+D)],December - Public [A],December - Private [B],December - Urban [C],December - Rural [D],January - Total [(A+B) or (C+D)],January - Public [A],January - Private [B],January - Urban [C],January - Rural [D],February - Total [(A+B) or (C+D)],February - Public [A],February - Private [B],February - Urban [C],February - Rural [D],March - Total [(A+B) or (C+D)],March - Public [A],March - Private [B],March - Urban [C],March - Rural [D],Total - Total [(A+B) or (C+D)],Total - Public [A],Total - Private [B],Total - Urban [C],Total - Rural [D]
Karaikal,'1.1',Total number of pregnant women registered for ANC,TOTAL,514,499,15,86,428,569,552,17,94,475,463,451,12,87,376,476,468,8,73,403,402,392,10,70,332,425,419,6,69,356,445,431,14,84,361,518,503,15,98,420,492,480,12,94,398,554,544,10,116,438,556,547,9,103,453,399,389,10,80,319,5813,5675,138,1054,4759
Karaikal,'1.1.1',"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,302,287,15,63,239,319,304,15,69,250,261,251,10,59,202,224,216,8,44,180,194,184,10,44,150,232,226,6,20,212,302,288,14,67,235,362,348,14,75,287,315,305,10,61,254,338,329,9,82,256,338,329,9,82,256,232,232,0,48,184,3419,3299,120,714,2705
Karaikal,'1.2.1',Number of PW given TT1,TOTAL,176,166,10,47,129,215,200,15,69,146,188,178,10,64,124,175,167,8,65,110,152,142,10,42,110,160,154,6,47,113,185,171,14,55,130,211,197,14,69,142,180,170,10,63,117,211,202,9,68,143,247,238,9,93,154,161,153,8,53,108,2261,2138,123,735,1526
Karaikal,'1.2.2',Number of PW given TT2,TOTAL,187,177,10,59,128,175,160,15,63,112,216,206,10,76,140,208,200,8,76,132,176,166,10,62,114,141,135,6,45,96,145,135,10,46,99,157,143,14,50,107,169,159,10,61,108,205,196,9,76,129,181,172,9,77,104,217,209,8,89,128,2177,2058,119,780,1397
Karaikal,'1.2.3',Number of PW given TT Booster,TOTAL,4,4,0,1,3,10,8,2,4,6,4,4,0,1,3,13,13,0,6,7,12,12,0,5,7,33,33,0,24,9,4,4,0,2,2,10,9,1,3,7,5,5,0,1,4,17,17,0,4,13,20,20,0,7,13,7,7,0,2,5,139,136,3,60,79
Karaikal,'1.2.4',Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,212,212,0,75,137,217,217,0,72,145,254,254,0,68,186,213,213,0,70,143,194,194,0,79,115,196,196,0,31,165,207,207,0,66,141,212,212,0,76,136,200,200,0,56,144,177,177,0,57,120,247,247,0,67,180,161,161,0,46,115,2490,2490,0,763,1727
Karaikal,'1.2.5',Number of PW given 360 Calcium tablets,TOTAL,218,218,0,73,145,223,223,0,72,151,221,221,0,68,153,202,202,0,70,132,180,180,0,79,101,209,209,0,66,143,143,143,0,21,122,210,210,0,76,134,195,195,0,56,139,184,184,0,57,127,197,197,0,67,130,151,151,0,46,105,2333,2333,0,751,1582
Karaikal,'1.2.6',Number of PW given one Albendazole tablet after 1st trimester,TOTAL,141,141,0,61,80,136,136,0,53,83,152,152,0,54,98,151,151,0,62,89,103,103,0,45,58,88,88,0,18,70,131,131,0,46,85,118,118,0,43,75,163,163,0,51,112,129,129,0,54,75,143,143,0,55,88,99,99,0,48,51,1554,1554,0,590,964
Karaikal,'1.2.7',Number of PW received 4 or more ANC check ups,TOTAL,830,820,10,113,717,898,883,15,119,779,790,780,10,105,685,797,789,8,119,678,796,796,0,88,708,709,705,4,73,636,723,723,0,69,654,737,723,14,94,643,672,662,10,88,584,622,622,0,82,540,703,703,0,82,621,631,631,0,53,578,8908,8837,71,1085,7823
Karaikal,'1.2.8',Number of PW given ANC Corticosteroids in Pre Term Labour,TOTAL,5,4,1,1,4,6,6,0,0,6,10,9,1,1,9,5,4,1,1,4,4,2,2,2,2,6,6,0,0,6,4,4,0,0,4,8,8,0,0,8,12,12,0,0,12,3,3,0,0,3,5,3,2,2,3,8,7,1,1,7,76,68,8,8,68
